sampling.session,species,id_tag,survival,LD1,LD2,LD3
fall.2015,sagrei,orangem34,0,-0.191842,0.205952,0.079330
fall.2015,sagrei,orangem32,0,0.150322,0.434282,-0.192285
fall.2015,sagrei,orangem91,0,1.480451,2.435856,-0.784345
fall.2015,sagrei,orangen59,1,1.824171,2.657156,-0.349857
fall.2015,sagrei,orangeo95,0,1.407852,-0.932328,0.893153
fall.2015,sagrei,orangeo84,0,0.141651,0.751300,1.403280
fall.2015,sagrei,orangem04,0,-1.412589,0.949711,1.379500
fall.2015,sagrei,orangem00,1,0.864353,-0.035224,-1.651382
fall.2015,sagrei,orangem02,0,2.064854,0.800940,-0.989906
fall.2015,sagrei,orangem03,0,0.521383,0.941579,-0.345576
fall.2015,sagrei,orangem09,0,0.852147,-0.114832,0.107222
fall.2015,sagrei,orangem07,0,-0.004567,-2.652671,0.064365
fall.2015,sagrei,orangem10,0,2.839119,-0.223806,-0.243530
fall.2015,sagrei,orangem13,1,0.534054,-0.326397,1.284835
fall.2015,sagrei,orangem12,1,0.856206,-0.985624,0.093941
fall.2015,sagrei,orangem11,1,0.229388,1.386446,0.457669
fall.2015,sagrei,orangem06,0,0.343175,-0.699239,-1.549395
fall.2015,sagrei,orangem08,0,1.789737,-0.244859,-0.991931
fall.2015,sagrei,orangem14,1,-0.526473,0.823881,1.042363
fall.2015,sagrei,orangem15,0,0.892630,0.678932,0.764248
fall.2015,sagrei,orangem22,1,0.884999,-1.676100,-0.072589
fall.2015,sagrei,orangem30,1,1.759794,1.221695,0.152001
fall.2015,sagrei,orangem21,1,-0.082231,-0.047014,1.694988
fall.2015,sagrei,orangem17,1,1.757208,-0.852584,-0.472129
fall.2015,sagrei,orangem20,0,0.069259,0.302734,1.363309
fall.2015,sagrei,orangem19,0,1.379251,-0.198265,1.635645
fall.2015,sagrei,orangem69,0,0.415095,0.557422,2.088877
fall.2015,sagrei,orangem70,0,1.849421,-0.470836,0.379984
fall.2015,carolinensis,orangem77,0,-5.767551,-0.411388,2.617471
fall.2015,sagrei,orangem36,0,0.719784,0.135891,-0.143726
fall.2015,sagrei,orangem38,1,0.172219,0.518817,-0.036994
fall.2015,sagrei,orangem53,1,1.420419,-1.108098,-0.445265
fall.2015,sagrei,orangem49,0,2.485441,0.458732,-0.895607
fall.2015,sagrei,orangem35,0,0.846596,-0.803171,-0.612759
fall.2015,sagrei,orangem78,0,2.579964,0.527896,-1.115023
fall.2015,sagrei,orangem37,0,1.599206,0.079054,-2.587770
fall.2015,sagrei,orangem33,0,1.268206,-0.171327,1.255688
fall.2015,sagrei,orangem76,0,1.377620,-0.255228,-0.357657
fall.2015,sagrei,orangem44,0,-0.853196,0.842191,1.251094
fall.2015,sagrei,orangem52,0,2.343928,-0.338340,0.307538
fall.2015,sagrei,orangem74,0,-0.001139,1.247796,1.967988
fall.2015,sagrei,orangem73,0,0.474731,0.607494,0.212543
fall.2015,sagrei,orangem42,1,0.992599,-0.028394,1.103695
fall.2015,sagrei,orangem71,0,2.213635,-0.794991,-0.222578
fall.2015,sagrei,orangem39,0,1.598420,-0.116282,0.188148
fall.2015,sagrei,orangem45,0,-0.227980,1.116596,1.431753
fall.2015,sagrei,orangem43,1,1.923459,0.861819,-0.678188
fall.2015,sagrei,orangem40,0,0.736713,-0.285388,-1.725161
fall.2015,sagrei,orangem41,0,1.453892,1.158405,0.129854
fall.2015,sagrei,orangem72,0,-0.816863,1.448544,0.797375
fall.2015,carolinensis,orangem51,0,-5.987373,1.667263,0.684127
fall.2015,sagrei,orangem56,0,1.145773,-0.855317,-0.785551
fall.2015,sagrei,orangem60,0,0.752841,1.102763,0.038372
fall.2015,carolinensis,orangem54,0,-5.358450,2.524275,2.328220
fall.2015,sagrei,orangem57,1,0.942319,0.293847,0.771943
fall.2015,sagrei,orangem55,1,0.084119,0.828934,0.525895
fall.2015,sagrei,orangem59,0,1.442666,-1.017356,0.595644
fall.2015,sagrei,orangem61,0,1.916113,-2.492632,0.539326
fall.2015,sagrei,orangem63,1,0.295194,3.027447,0.255154
fall.2015,sagrei,orangem62,0,1.464382,-2.663498,0.903978
fall.2015,sagrei,orangem66,0,0.107526,1.183034,-0.275222
fall.2015,equestris,orangem67,0,-6.673012,-5.143777,-3.788678
fall.2015,sagrei,orangem75,0,0.964719,0.636326,-0.298460
fall.2015,sagrei,orangem65,1,-0.301904,-1.118463,-0.403959
fall.2015,sagrei,orangem64,1,1.838534,1.150536,-0.637704
fall.2015,sagrei,orangem68,0,1.791714,-0.294113,0.280384
fall.2015,sagrei,orangem86,1,0.966539,-1.426202,0.616077
fall.2015,sagrei,orangen13,0,2.654797,-0.116862,-0.541181
fall.2015,sagrei,orangen18,0,1.230535,0.446884,1.533671
fall.2015,sagrei,orangem87,0,0.766606,0.749504,1.366620
fall.2015,carolinensis,orangen12,0,-7.453980,-0.730859,1.671777
fall.2015,sagrei,orangem79,1,1.868011,-1.582656,0.206936
fall.2015,sagrei,orangem97,1,1.394564,1.208122,-0.547369
fall.2015,sagrei,orangen07,0,1.263514,0.568008,-0.500286
fall.2015,sagrei,orangen05,0,1.784096,-0.064056,0.023846
fall.2015,sagrei,orangen11,1,2.097764,-0.095446,-0.488154
fall.2015,sagrei,orangen06,0,0.377435,1.382979,2.453926
fall.2015,carolinensis,orangen17,0,-6.547806,0.272001,2.245251
fall.2015,sagrei,orangen19,0,1.449293,-0.712002,1.145645
fall.2015,sagrei,orangem93,0,1.762680,0.395282,-1.708186
fall.2015,distichus,orangen03,1,-0.205857,-7.145522,3.405853
fall.2015,sagrei,orangen02,0,2.001873,0.411579,-0.476378
fall.2015,carolinensis,orangen10,0,-5.644858,0.171919,1.418859
fall.2015,carolinensis,orangen14,0,-7.057830,0.526395,2.703139
fall.2015,carolinensis,orangem95,0,-6.389361,0.057586,-0.517210
fall.2015,sagrei,orangen25,0,1.244328,-0.065605,-0.422947
fall.2015,sagrei,orangen38,0,2.270774,1.069099,1.085524
fall.2015,sagrei,orangen42,0,2.389626,2.495876,0.893377
fall.2015,sagrei,orangen31,0,1.011908,-0.124715,-1.134642
fall.2015,sagrei,orangen39,0,-0.063178,1.597908,0.501328
fall.2015,equestris,orangen27,0,-6.818393,-5.828557,-1.156233
fall.2015,sagrei,orangen24,0,1.040496,3.200947,-0.704008
fall.2015,sagrei,orangen41,0,0.738625,0.047263,0.323890
fall.2015,sagrei,orangen34,0,2.474667,0.524370,-0.286144
fall.2015,sagrei,orangen33,0,2.931723,2.125860,0.170115
fall.2015,sagrei,orangen35,0,2.588801,-0.746413,0.585337
fall.2015,sagrei,orangen40,1,2.146679,1.146253,0.774146
fall.2015,sagrei,orangen30,0,1.846547,-0.855364,0.086564
fall.2015,sagrei,orangen29,1,2.310890,-0.565791,-0.215971
fall.2015,sagrei,orangen32,0,2.761136,-0.339669,-0.783020
fall.2015,sagrei,orangen26,0,1.699328,0.611102,-0.696101
fall.2015,sagrei,orangen47,0,2.070395,-0.436258,-0.275462
fall.2015,sagrei,orangen58,0,1.745325,0.220683,-0.516936
fall.2015,sagrei,orangen56,0,1.070159,1.617139,0.685498
fall.2015,sagrei,orangen55,0,1.766746,1.210905,1.580320
fall.2015,sagrei,orangen52,0,0.698631,0.971762,0.656529
fall.2015,sagrei,orangen50,0,1.369979,0.976193,0.401761
fall.2015,sagrei,orangen53,1,1.929496,0.171587,0.407141
fall.2015,distichus,orangen48,0,0.890720,-5.254515,3.860657
fall.2015,sagrei,orangen45,0,0.665127,0.055083,-1.239961
fall.2015,sagrei,orangen62,0,1.228087,0.604936,-0.552521
fall.2015,sagrei,orangen57,0,3.510045,-0.250783,0.145446
fall.2015,sagrei,orangen51,1,1.843277,0.789160,-0.539741
fall.2015,sagrei,orangen46,0,2.025597,-0.114542,-1.661115
fall.2015,sagrei,orangen61,1,2.081286,3.212776,-0.642876
fall.2015,sagrei,orangen60,1,0.694459,1.502058,-0.511443
fall.2015,sagrei,orangen44,1,1.453236,1.070261,0.448495
fall.2015,sagrei,orangen49,1,1.951267,0.723779,0.243388
fall.2015,carolinensis,orangen54,0,-5.986085,1.564644,1.500375
fall.2015,sagrei,orangen65,0,2.672119,0.305803,-0.346119
fall.2015,sagrei,orangen79,1,1.841805,0.915286,0.197362
fall.2015,sagrei,orangen68,0,-0.476176,0.389807,0.903647
fall.2015,carolinensis,orangen67,1,-6.292129,2.056667,0.447629
fall.2015,sagrei,orangen71,0,0.538866,1.981212,-0.070881
fall.2015,sagrei,orangen83,0,1.216899,0.617541,1.392231
fall.2015,sagrei,orangen75,0,0.470647,1.408104,-0.470476
fall.2015,sagrei,orangen64,0,2.433175,-0.822153,-0.082694
fall.2015,sagrei,orangen69,0,1.798223,0.765021,-0.115702
fall.2015,sagrei,orangen73,0,1.082460,1.119212,0.959926
fall.2015,sagrei,orangen84,1,2.498573,0.505517,0.295059
fall.2015,sagrei,orangen80,1,2.103066,3.279986,0.384971
fall.2015,sagrei,orangen76,0,1.488077,1.489076,1.959889
fall.2015,sagrei,orangen66,0,0.468510,0.476678,1.165238
fall.2015,sagrei,orangen81,1,1.380422,1.408054,0.639146
fall.2015,sagrei,orangen77,1,2.064064,2.055699,-0.409648
fall.2015,sagrei,orangen74,1,0.685433,1.904286,-0.721713
fall.2015,sagrei,orangen72,0,0.916154,-0.513784,0.895968
fall.2015,sagrei,orangen70,0,2.502562,-1.335278,-1.291405
fall.2015,sagrei,orangen90,1,1.688159,-0.892409,0.012477
fall.2015,sagrei,orangen92,0,0.926513,1.647321,-0.525819
fall.2015,sagrei,orangen87,0,2.520065,-1.155013,-0.343748
fall.2015,sagrei,orangen89,0,2.574037,0.576879,-0.780554
fall.2015,sagrei,orangen88,0,2.912466,-1.736097,-0.139959
fall.2015,sagrei,orangen85,0,2.101504,-0.498421,-0.741514
fall.2015,sagrei,orangen86,0,1.998063,0.269556,-0.979433
fall.2015,sagrei,orangen94,1,1.287287,-0.447270,-0.096438
fall.2015,carolinensis,orangen97,1,-7.262280,1.509175,-0.380108
fall.2015,sagrei,orangeo00,0,1.678017,-0.136804,0.713287
fall.2015,sagrei,orangen91,0,1.195573,0.191722,0.653110
fall.2015,sagrei,orangen95,0,2.128075,0.836147,-0.501579
fall.2015,sagrei,orangeo05,0,1.041290,0.179062,0.443744
fall.2015,sagrei,orangeo09,0,2.706040,2.327607,-0.681556
fall.2015,sagrei,orangen93,0,1.140230,0.621841,-0.103955
fall.2015,sagrei,orangeo02,0,1.487283,0.973226,0.887791
fall.2015,sagrei,orangeo08,0,-1.422996,0.729016,1.374765
fall.2015,sagrei,orangen98,0,1.144791,0.580804,0.654027
fall.2015,sagrei,orangeo06,0,2.316536,0.488248,0.597537
fall.2015,sagrei,orangeo03,0,2.842917,2.357039,-0.225405
fall.2015,sagrei,orangeo07,0,1.020669,1.616674,0.992981
fall.2015,sagrei,orangen99,1,1.280983,0.536110,1.141872
fall.2015,sagrei,orangeo04,1,0.706153,0.398587,1.903495
fall.2015,sagrei,orangeo01,0,1.187145,1.252023,-0.619940
fall.2015,sagrei,orangen96,0,1.722178,0.664558,0.100061
fall.2015,carolinensis,orangeo11,0,-5.722811,2.339480,-0.526760
fall.2015,sagrei,orangeo32,0,1.450308,-0.076770,1.072909
fall.2015,sagrei,orangeo31,0,0.531954,1.021151,1.700457
fall.2015,sagrei,orangeo36,0,3.406985,0.538897,-0.881747
fall.2015,sagrei,orangeo39,0,1.777834,-0.479312,0.565561
fall.2015,sagrei,orangeo23,1,1.560306,0.882494,1.043737
fall.2015,sagrei,orangeo34,1,1.047842,0.271865,0.037463
fall.2015,sagrei,orangeo35,0,-0.204379,1.140376,0.248492
fall.2015,sagrei,orangeo40,1,2.140637,1.598143,1.297450
fall.2015,sagrei,orangeo38,0,2.122978,1.451621,-0.840388
fall.2015,sagrei,orangeo28,0,1.318419,-0.358433,0.555672
fall.2015,sagrei,orangeo45,0,-0.983613,0.698932,1.637074
fall.2015,sagrei,orangeo26,1,2.482970,-0.761444,-0.289705
fall.2015,sagrei,orangeo43,0,0.693642,0.848306,1.122452
fall.2015,sagrei,orangeo30,1,1.840190,-0.690644,-0.133229
fall.2015,sagrei,orangeo27,0,0.218155,-0.575233,1.333062
fall.2015,sagrei,orangeo17,1,1.874334,1.338585,0.894556
fall.2015,sagrei,orangeo47,0,-0.388727,0.758080,2.168182
fall.2015,sagrei,orangeo15,1,-0.623577,1.238974,0.472135
fall.2015,sagrei,orangeo22,0,1.993304,-0.925942,0.505700
fall.2015,sagrei,orangeo37,0,1.428747,0.978864,1.055093
fall.2015,sagrei,orangeo25,0,-0.108593,0.916218,1.305455
fall.2015,sagrei,orangeo19,1,1.098519,-0.197837,0.680618
fall.2015,sagrei,orangeo20,0,2.344342,1.204432,0.686003
fall.2015,sagrei,orangeo46,0,-0.123586,-2.732266,2.696982
fall.2015,sagrei,orangeo42,1,1.355993,1.586637,0.682797
fall.2015,sagrei,orangeo18,0,0.947670,0.187990,0.086405
fall.2015,sagrei,orangeo16,0,1.881258,0.670659,-0.629347
