edf.ests,shat.GCV,lambda
3.00060048,0.427784051,2435.496172
3.00060048,0.427766852,2435.496172
3.00060048,0.428006618,2435.496172
3.00060048,0.428003679,2435.496172
3.00060048,0.427945682,2435.496172
3.00060048,0.427688833,2435.496172
3.00060048,0.428029289,2435.496172
3.00060048,0.427822226,2435.496172
3.00060048,0.427876792,2435.496172
3.00060048,0.427890834,2435.496172
3.00060048,0.427996923,2435.496172
3.00060048,0.427849672,2435.496172
3.00060048,0.42794986,2435.496172
3.00060048,0.427771741,2435.496172
3.00060048,0.427353898,2435.496172
3.00060048,0.427832887,2435.496172
3.00060048,0.427946843,2435.496172
3.00060048,0.427720667,2435.496172
3.00060048,0.427765074,2435.496172
10.03648908,0.426739192,0.070555259
10.03648908,0.426950865,0.070555259
3.00060048,0.428081326,2435.496172
3.00060048,0.428040302,2435.496172
3.00060048,0.427755591,2435.496172
3.00060048,0.427771452,2435.496172
3.00060048,0.427911861,2435.496172
3.00060048,0.428066167,2435.496172
10.03648908,0.426006135,0.070555259
10.03648908,0.42614421,0.070555259
3.00060048,0.427790444,2435.496172
3.00060048,0.427818034,2435.496172
3.00060048,0.427818228,2435.496172
3.00060048,0.428028054,2435.496172
3.00060048,0.427747,2435.496172
3.00060048,0.427734817,2435.496172
3.00060048,0.428032161,2435.496172
3.00060048,0.428019398,2435.496172
3.00060048,0.427851622,2435.496172
3.00060048,0.427765354,2435.496172
3.00060048,0.427975193,2435.496172
3.00060048,0.427969171,2435.496172
3.00060048,0.427673241,2435.496172
3.00060048,0.427855208,2435.496172
3.00060048,0.427915955,2435.496172
3.00060048,0.427851993,2435.496172
3.00060048,0.427920736,2435.496172
3.00060048,0.427981352,2435.496172
10.03648908,0.426717868,0.070555259
3.00060048,0.427719569,2435.496172
3.00060048,0.427912732,2435.496172
3.00060048,0.427903052,2435.496172
3.00060048,0.427786679,2435.496172
3.00060048,0.42777539,2435.496172
3.00060048,0.427818146,2435.496172
3.00060048,0.427967219,2435.496172
3.00060048,0.427817098,2435.496172
10.03648908,0.426614843,0.070555259
3.00060048,0.427917068,2435.496172
10.03648908,0.426891232,0.070555259
17.61409257,0.424987494,0.017930394
3.00060048,0.42784275,2435.496172
3.00060048,0.42789307,2435.496172
3.00060048,0.427914676,2435.496172
3.00060048,0.427628478,2435.496172
3.00060048,0.428008534,2435.496172
10.03648908,0.427066607,0.070555259
3.00060048,0.428012635,2435.496172
3.00060048,0.427903598,2435.496172
3.00060048,0.427715761,2435.496172
17.61409257,0.425286561,0.017930394
3.00060048,0.427961003,2435.496172
3.00060048,0.427850379,2435.496172
3.00060048,0.427920918,2435.496172
10.03648908,0.426324361,0.070555259
3.00060048,0.427834621,2435.496172
3.00060048,0.428028564,2435.496172
3.00060048,0.428055,2435.496172
3.00060048,0.427741096,2435.496172
3.00060048,0.427953463,2435.496172
3.00060048,0.427735282,2435.496172
3.00060048,0.427949715,2435.496172
3.00060048,0.427981816,2435.496172
3.00060048,0.427995184,2435.496172
3.00060048,0.427777573,2435.496172
3.00060048,0.427933548,2435.496172
3.00060048,0.427752036,2435.496172
3.00060048,0.427829511,2435.496172
3.00060048,0.427945712,2435.496172
3.00060048,0.427687266,2435.496172
10.03648908,0.426422174,0.070555259
3.00060048,0.427895884,2435.496172
3.00060048,0.427947209,2435.496172
3.00060048,0.427771659,2435.496172
3.00060048,0.427994884,2435.496172
3.00060048,0.427993877,2435.496172
3.00060048,0.427909862,2435.496172
3.00060048,0.427699608,2435.496172
3.00060048,0.427795596,2435.496172
3.00060048,0.427969963,2435.496172
3.00060048,0.427909144,2435.496172
3.00060048,0.427860618,2435.496172
3.00060048,0.42781718,2435.496172
3.00060048,0.427472856,2435.496172
3.00060048,0.427982506,2435.496172
3.00060048,0.427884567,2435.496172
3.00060048,0.427802235,2435.496172
3.00060048,0.428020916,2435.496172
3.00060048,0.427855914,2435.496172
3.00060048,0.427660585,2435.496172
3.00060048,0.427442793,2435.496172
3.00060048,0.428007844,2435.496172
3.00060048,0.427702884,2435.496172
3.00060048,0.427998537,2435.496172
3.00060048,0.428039328,2435.496172
3.00060048,0.427908401,2435.496172
3.00060048,0.427754636,2435.496172
3.00060048,0.427867946,2435.496172
3.00060048,0.427674041,2435.496172
3.00060048,0.427763631,2435.496172
3.00060048,0.427656533,2435.496172
3.00060048,0.42785994,2435.496172
3.00060048,0.427853689,2435.496172
3.00060048,0.427304738,2435.496172
3.00060048,0.427877978,2435.496172
3.00060048,0.428011227,2435.496172
3.00060048,0.427794284,2435.496172
3.00060048,0.42784877,2435.496172
3.00060048,0.427930197,2435.496172
14.1349866,0.425564738,0.030212318
3.00060048,0.427839279,2435.496172
10.03648908,0.426413174,0.070555259
3.00060048,0.427776643,2435.496172
10.38555037,0.426730436,0.064669304
3.00060048,0.427470765,2435.496172
3.00060048,0.427890382,2435.496172
14.87907987,0.425782226,0.026715718
3.00060048,0.427863256,2435.496172
11.06230381,0.426355358,0.055145627
3.00060048,0.428011303,2435.496172
3.00060048,0.427768285,2435.496172
3.00060048,0.427722893,2435.496172
3.00060048,0.427922859,2435.496172
3.00060048,0.427909633,2435.496172
3.00060048,0.427910537,2435.496172
3.00060048,0.427878958,2435.496172
10.03648908,0.426654249,0.070555259
3.00060048,0.427791891,2435.496172
3.00060048,0.427816523,2435.496172
3.00060048,0.42789482,2435.496172
3.00060048,0.427995321,2435.496172
10.03648908,0.426749553,0.070555259
3.00060048,0.427968586,2435.496172
3.00060048,0.427813798,2435.496172
10.03648908,0.425966921,0.070555259
3.00060048,0.427934102,2435.496172
3.00060048,0.427595247,2435.496172
3.00060048,0.428071146,2435.496172
3.00060048,0.428084908,2435.496172
3.00060048,0.428050414,2435.496172
3.00060048,0.427740271,2435.496172
3.00060048,0.427734727,2435.496172
13.7760339,0.425875894,0.032145348
3.00060048,0.427858797,2435.496172
3.00060048,0.42778092,2435.496172
3.00060048,0.42787839,2435.496172
3.00060048,0.42802377,2435.496172
3.00060048,0.427984667,2435.496172
3.00060048,0.428092547,2435.496172
3.00060048,0.428062295,2435.496172
3.00060048,0.427997241,2435.496172
3.00060048,0.427551962,2435.496172
3.00060048,0.42783044,2435.496172
3.00060048,0.427837715,2435.496172
3.00060048,0.427917633,2435.496172
3.00060048,0.428006504,2435.496172
3.00060048,0.42796042,2435.496172
3.00060048,0.427952805,2435.496172
3.00060048,0.427941789,2435.496172
3.00060048,0.427912529,2435.496172
11.06230381,0.426350618,0.055145627
10.03648908,0.426865923,0.070555259
3.00060048,0.427722067,2435.496172
3.00060048,0.427972304,2435.496172
3.00060048,0.427848856,2435.496172
21.19424304,0.425567215,0.011674978
3.00060048,0.427970909,2435.496172
3.00060048,0.428060631,2435.496172
3.00060048,0.427764299,2435.496172
3.00060048,0.428086993,2435.496172
3.00060048,0.427541888,2435.496172
3.00060048,0.428010581,2435.496172
3.00060048,0.427914329,2435.496172
3.00060048,0.427862485,2435.496172
3.00060048,0.427754941,2435.496172
3.00060048,0.42798713,2435.496172
3.00060048,0.427605342,2435.496172
3.00060048,0.42734331,2435.496172
3.00060048,0.427997814,2435.496172
3.00060048,0.428008034,2435.496172
3.00060048,0.427692991,2435.496172
3.00060048,0.427885516,2435.496172
21.19424304,0.42470607,0.011674978
3.00060048,0.427964576,2435.496172
3.00060048,0.427957378,2435.496172
3.00060048,0.427840149,2435.496172
10.03648908,0.427076174,0.070555259
25.37616069,0.42443984,0.007734702
3.00060048,0.427852019,2435.496172
3.00060048,0.427731535,2435.496172
3.00060048,0.427914357,2435.496172
3.00060048,0.427825307,2435.496172
10.03648908,0.426774359,0.070555259
3.00060048,0.427873472,2435.496172
3.00060048,0.427914053,2435.496172
3.00060048,0.427956833,2435.496172
3.00060048,0.427799561,2435.496172
3.00060048,0.427939872,2435.496172
3.00060048,0.427724882,2435.496172
3.00060048,0.427882629,2435.496172
3.00060048,0.427869586,2435.496172
3.00060048,0.42793017,2435.496172
3.00060048,0.427849258,2435.496172
3.00060048,0.427310123,2435.496172
3.00060048,0.428051845,2435.496172
3.00060048,0.427894592,2435.496172
3.00060048,0.427792697,2435.496172
3.00060048,0.427943721,2435.496172
22.25693386,0.424442225,0.010434432
3.00060048,0.427985322,2435.496172
3.00060048,0.427862794,2435.496172
3.00060048,0.427702357,2435.496172
3.00060048,0.427975584,2435.496172
3.00060048,0.427430256,2435.496172
3.00060048,0.427845019,2435.496172
3.00060048,0.427902009,2435.496172
3.00060048,0.42793927,2435.496172
3.00060048,0.427615339,2435.496172
19.12462041,0.425825608,0.014802686
3.00060048,0.427849189,2435.496172
3.00060048,0.428040971,2435.496172
3.00060048,0.42787711,2435.496172
3.00060048,0.427666498,2435.496172
3.00060048,0.427901687,2435.496172
10.03648908,0.426511407,0.070555259
3.00060048,0.427797148,2435.496172
3.00060048,0.427727729,2435.496172
3.00060048,0.427871358,2435.496172
3.00060048,0.428013871,2435.496172
3.00060048,0.427919431,2435.496172
3.00060048,0.427815942,2435.496172
10.03648908,0.427070359,0.070555259
3.00060048,0.427642141,2435.496172
3.00060048,0.428024332,2435.496172
3.00060048,0.427637164,2435.496172
3.00060048,0.42805021,2435.496172
10.03648908,0.426497972,0.070555259
3.00060048,0.427886167,2435.496172
3.00060048,0.428006055,2435.496172
3.00060048,0.427865737,2435.496172
3.00060048,0.427867639,2435.496172
3.00060048,0.427911269,2435.496172
3.00060048,0.427759183,2435.496172
3.00060048,0.427769499,2435.496172
3.00060048,0.428042033,2435.496172
3.00060048,0.427896773,2435.496172
3.00060048,0.427844812,2435.496172
3.00060048,0.428057254,2435.496172
3.00060048,0.427679294,2435.496172
3.00060048,0.427743576,2435.496172
3.00060048,0.427723072,2435.496172
3.00060048,0.427749544,2435.496172
3.00060048,0.427805796,2435.496172
31.32554602,0.423683467,0.004801297
3.00060048,0.427657899,2435.496172
10.03648908,0.427146454,0.070555259
3.00060048,0.427785249,2435.496172
10.03648908,0.426252193,0.070555259
3.00060048,0.427766282,2435.496172
3.00060048,0.427848693,2435.496172
3.00060048,0.427953039,2435.496172
3.00060048,0.427713348,2435.496172
3.00060048,0.427901228,2435.496172
3.00060048,0.427920756,2435.496172
3.00060048,0.427927084,2435.496172
3.00060048,0.427844551,2435.496172
3.00060048,0.427837046,2435.496172
3.00060048,0.427834043,2435.496172
17.61409257,0.425583796,0.017930394
3.00060048,0.427785798,2435.496172
3.00060048,0.428120656,2435.496172
3.00060048,0.427899765,2435.496172
3.00060048,0.427895797,2435.496172
3.00060048,0.427981581,2435.496172
3.00060048,0.42801895,2435.496172
3.00060048,0.427862268,2435.496172
3.00060048,0.427854195,2435.496172
3.00060048,0.42717651,2435.496172
3.00060048,0.4279637,2435.496172
3.00060048,0.427873725,2435.496172
3.00060048,0.428093284,2435.496172
3.00060048,0.42761023,2435.496172
3.00060048,0.427925403,2435.496172
3.00060048,0.427692361,2435.496172
10.03648908,0.426928043,0.070555259
10.03648908,0.426694856,0.070555259
3.00060048,0.427851569,2435.496172
3.00060048,0.427824957,2435.496172
3.00060048,0.42799962,2435.496172
10.03648908,0.425841834,0.070555259
3.00060048,0.428037633,2435.496172
3.00060048,0.427883615,2435.496172
3.00060048,0.428007957,2435.496172
3.00060048,0.427913873,2435.496172
3.00060048,0.427699337,2435.496172
3.00060048,0.427606606,2435.496172
3.00060048,0.42792891,2435.496172
3.00060048,0.427809444,2435.496172
3.00060048,0.427834016,2435.496172
3.00060048,0.427929481,2435.496172
3.00060048,0.427447149,2435.496172
3.00060048,0.428032178,2435.496172
3.00060048,0.42767591,2435.496172
3.00060048,0.427600839,2435.496172
3.00060048,0.428043704,2435.496172
3.00060048,0.42793733,2435.496172
10.03648908,0.426954357,0.070555259
3.00060048,0.427971797,2435.496172
3.00060048,0.427870771,2435.496172
3.00060048,0.427995097,2435.496172
3.00060048,0.427743904,2435.496172
3.00060048,0.427985335,2435.496172
3.00060048,0.427836228,2435.496172
